"US_Congressional_District","Voters_Gender","age_cat","EthnicGroups_EthnicGroup1Desc","CommercialData_Education","Parties_Description","count"
11,"F","35-44","East and South Asian","Bach Degree","Democratic",9
12,"F","35-44","East and South Asian","Bach Degree","Democratic",75
13,"F","35-44","East and South Asian","Bach Degree","Democratic",21
14,"F","35-44","East and South Asian","Bach Degree","Democratic",75
15,"F","35-44","East and South Asian","Bach Degree","Democratic",27
16,"F","35-44","East and South Asian","Bach Degree","Democratic",46
17,"F","35-44","East and South Asian","Bach Degree","Democratic",107
18,"F","35-44","East and South Asian","Bach Degree","Democratic",167
19,"F","35-44","East and South Asian","Bach Degree","Democratic",12
20,"F","35-44","East and South Asian","Bach Degree","Democratic",61
21,"F","35-44","East and South Asian","Bach Degree","Democratic",172
22,"F","35-44","East and South Asian","Bach Degree","Democratic",492
23,"F","35-44","East and South Asian","Bach Degree","Democratic",47
24,"F","35-44","East and South Asian","Bach Degree","Democratic",272
25,"F","35-44","East and South Asian","Bach Degree","Democratic",219
26,"F","35-44","East and South Asian","Bach Degree","Democratic",148
27,"F","35-44","East and South Asian","Bach Degree","Democratic",27
28,"F","35-44","East and South Asian","Bach Degree","Democratic",27
29,"F","35-44","East and South Asian","Bach Degree","Democratic",45
30,"F","35-44","East and South Asian","Bach Degree","Democratic",98
31,"F","35-44","East and South Asian","Bach Degree","Democratic",187
32,"F","35-44","East and South Asian","Bach Degree","Democratic",245
33,"F","35-44","East and South Asian","Bach Degree","Democratic",36
34,"F","35-44","East and South Asian","Bach Degree","Democratic",26
35,"F","35-44","East and South Asian","Bach Degree","Democratic",90
36,"F","35-44","East and South Asian","Bach Degree","Democratic",57
1,"M","35-44","East and South Asian","Bach Degree","Democratic",4
2,"M","35-44","East and South Asian","Bach Degree","Democratic",197
3,"M","35-44","East and South Asian","Bach Degree","Democratic",181
4,"M","35-44","East and South Asian","Bach Degree","Democratic",15
5,"M","35-44","East and South Asian","Bach Degree","Democratic",34
6,"M","35-44","East and South Asian","Bach Degree","Democratic",49
7,"M","35-44","East and South Asian","Bach Degree","Democratic",240
8,"M","35-44","East and South Asian","Bach Degree","Democratic",45
9,"M","35-44","East and South Asian","Bach Degree","Democratic",200
10,"M","35-44","East and South Asian","Bach Degree","Democratic",204
11,"M","35-44","East and South Asian","Bach Degree","Democratic",8
12,"M","35-44","East and South Asian","Bach Degree","Democratic",59
13,"M","35-44","East and South Asian","Bach Degree","Democratic",13
14,"M","35-44","East and South Asian","Bach Degree","Democratic",67
15,"M","35-44","East and South Asian","Bach Degree","Democratic",24
16,"M","35-44","East and South Asian","Bach Degree","Democratic",46
17,"M","35-44","East and South Asian","Bach Degree","Democratic",73
18,"M","35-44","East and South Asian","Bach Degree","Democratic",106
19,"M","35-44","East and South Asian","Bach Degree","Democratic",13
20,"M","35-44","East and South Asian","Bach Degree","Democratic",42
21,"M","35-44","East and South Asian","Bach Degree","Democratic",143
22,"M","35-44","East and South Asian","Bach Degree","Democratic",378
23,"M","35-44","East and South Asian","Bach Degree","Democratic",36
24,"M","35-44","East and South Asian","Bach Degree","Democratic",159
25,"M","35-44","East and South Asian","Bach Degree","Democratic",142
26,"M","35-44","East and South Asian","Bach Degree","Democratic",99
27,"M","35-44","East and South Asian","Bach Degree","Democratic",14
28,"M","35-44","East and South Asian","Bach Degree","Democratic",28
29,"M","35-44","East and South Asian","Bach Degree","Democratic",40
30,"M","35-44","East and South Asian","Bach Degree","Democratic",67
31,"M","35-44","East and South Asian","Bach Degree","Democratic",134
32,"M","35-44","East and South Asian","Bach Degree","Democratic",186
33,"M","35-44","East and South Asian","Bach Degree","Democratic",25
34,"M","35-44","East and South Asian","Bach Degree","Democratic",15
35,"M","35-44","East and South Asian","Bach Degree","Democratic",60
36,"M","35-44","East and South Asian","Bach Degree","Democratic",35
1,"F","45-54","East and South Asian","Bach Degree","Democratic",15
2,"F","45-54","East and South Asian","Bach Degree","Democratic",181
3,"F","45-54","East and South Asian","Bach Degree","Democratic",462
4,"F","45-54","East and South Asian","Bach Degree","Democratic",25
5,"F","45-54","East and South Asian","Bach Degree","Democratic",46
6,"F","45-54","East and South Asian","Bach Degree","Democratic",82
7,"F","45-54","East and South Asian","Bach Degree","Democratic",304
8,"F","45-54","East and South Asian","Bach Degree","Democratic",63
9,"F","45-54","East and South Asian","Bach Degree","Democratic",242
10,"F","45-54","East and South Asian","Bach Degree","Democratic",258
11,"F","45-54","East and South Asian","Bach Degree","Democratic",8
12,"F","45-54","East and South Asian","Bach Degree","Democratic",53
13,"F","45-54","East and South Asian","Bach Degree","Democratic",14
14,"F","45-54","East and South Asian","Bach Degree","Democratic",56
15,"F","45-54","East and South Asian","Bach Degree","Democratic",38
16,"F","45-54","East and South Asian","Bach Degree","Democratic",47
17,"F","45-54","East and South Asian","Bach Degree","Democratic",92
18,"F","45-54","East and South Asian","Bach Degree","Democratic",76
19,"F","45-54","East and South Asian","Bach Degree","Democratic",27
20,"F","45-54","East and South Asian","Bach Degree","Democratic",76
21,"F","45-54","East and South Asian","Bach Degree","Democratic",124
22,"F","45-54","East and South Asian","Bach Degree","Democratic",583
23,"F","45-54","East and South Asian","Bach Degree","Democratic",75
24,"F","45-54","East and South Asian","Bach Degree","Democratic",277
25,"F","45-54","East and South Asian","Bach Degree","Democratic",181
26,"F","45-54","East and South Asian","Bach Degree","Democratic",145
27,"F","45-54","East and South Asian","Bach Degree","Democratic",27
28,"F","45-54","East and South Asian","Bach Degree","Democratic",33
29,"F","45-54","East and South Asian","Bach Degree","Democratic",38
30,"F","45-54","East and South Asian","Bach Degree","Democratic",66
31,"F","45-54","East and South Asian","Bach Degree","Democratic",131
32,"F","45-54","East and South Asian","Bach Degree","Democratic",176
33,"F","45-54","East and South Asian","Bach Degree","Democratic",31
34,"F","45-54","East and South Asian","Bach Degree","Democratic",23
35,"F","45-54","East and South Asian","Bach Degree","Democratic",38
36,"F","45-54","East and South Asian","Bach Degree","Democratic",51
1,"M","45-54","East and South Asian","Bach Degree","Democratic",4
2,"M","45-54","East and South Asian","Bach Degree","Democratic",149
3,"M","45-54","East and South Asian","Bach Degree","Democratic",353
4,"M","45-54","East and South Asian","Bach Degree","Democratic",8
5,"M","45-54","East and South Asian","Bach Degree","Democratic",29
6,"M","45-54","East and South Asian","Bach Degree","Democratic",48
7,"M","45-54","East and South Asian","Bach Degree","Democratic",209
8,"M","45-54","East and South Asian","Bach Degree","Democratic",39
9,"M","45-54","East and South Asian","Bach Degree","Democratic",222
10,"M","45-54","East and South Asian","Bach Degree","Democratic",203
11,"M","45-54","East and South Asian","Bach Degree","Democratic",9
12,"M","45-54","East and South Asian","Bach Degree","Democratic",35
13,"M","45-54","East and South Asian","Bach Degree","Democratic",7
14,"M","45-54","East and South Asian","Bach Degree","Democratic",41
15,"M","45-54","East and South Asian","Bach Degree","Democratic",22
16,"M","45-54","East and South Asian","Bach Degree","Democratic",37
17,"M","45-54","East and South Asian","Bach Degree","Democratic",77
18,"M","45-54","East and South Asian","Bach Degree","Democratic",75
19,"M","45-54","East and South Asian","Bach Degree","Democratic",15
20,"M","45-54","East and South Asian","Bach Degree","Democratic",45
21,"M","45-54","East and South Asian","Bach Degree","Democratic",94
22,"M","45-54","East and South Asian","Bach Degree","Democratic",450
23,"M","45-54","East and South Asian","Bach Degree","Democratic",36
24,"M","45-54","East and South Asian","Bach Degree","Democratic",200
25,"M","45-54","East and South Asian","Bach Degree","Democratic",118
26,"M","45-54","East and South Asian","Bach Degree","Democratic",132
27,"M","45-54","East and South Asian","Bach Degree","Democratic",19
28,"M","45-54","East and South Asian","Bach Degree","Democratic",29
29,"M","45-54","East and South Asian","Bach Degree","Democratic",35
30,"M","45-54","East and South Asian","Bach Degree","Democratic",29
31,"M","45-54","East and South Asian","Bach Degree","Democratic",115
32,"M","45-54","East and South Asian","Bach Degree","Democratic",173
33,"M","45-54","East and South Asian","Bach Degree","Democratic",24
34,"M","45-54","East and South Asian","Bach Degree","Democratic",16
35,"M","45-54","East and South Asian","Bach Degree","Democratic",41
36,"M","45-54","East and South Asian","Bach Degree","Democratic",30
1,"F","55-64","East and South Asian","Bach Degree","Democratic",13
2,"F","55-64","East and South Asian","Bach Degree","Democratic",148
3,"F","55-64","East and South Asian","Bach Degree","Democratic",299
4,"F","55-64","East and South Asian","Bach Degree","Democratic",23
5,"F","55-64","East and South Asian","Bach Degree","Democratic",29
6,"F","55-64","East and South Asian","Bach Degree","Democratic",76
7,"F","55-64","East and South Asian","Bach Degree","Democratic",242
8,"F","55-64","East and South Asian","Bach Degree","Democratic",44
9,"F","55-64","East and South Asian","Bach Degree","Democratic",240
10,"F","55-64","East and South Asian","Bach Degree","Democratic",172
11,"F","55-64","East and South Asian","Bach Degree","Democratic",13
12,"F","55-64","East and South Asian","Bach Degree","Democratic",70
13,"F","55-64","East and South Asian","Bach Degree","Democratic",14
14,"F","55-64","East and South Asian","Bach Degree","Democratic",64
15,"F","55-64","East and South Asian","Bach Degree","Democratic",25
16,"F","55-64","East and South Asian","Bach Degree","Democratic",55
17,"F","55-64","East and South Asian","Bach Degree","Democratic",89
18,"F","55-64","East and South Asian","Bach Degree","Democratic",68
19,"F","55-64","East and South Asian","Bach Degree","Democratic",30
20,"F","55-64","East and South Asian","Bach Degree","Democratic",57
21,"F","55-64","East and South Asian","Bach Degree","Democratic",108
22,"F","55-64","East and South Asian","Bach Degree","Democratic",499
23,"F","55-64","East and South Asian","Bach Degree","Democratic",39
24,"F","55-64","East and South Asian","Bach Degree","Democratic",164
25,"F","55-64","East and South Asian","Bach Degree","Democratic",104
26,"F","55-64","East and South Asian","Bach Degree","Democratic",71
27,"F","55-64","East and South Asian","Bach Degree","Democratic",44
28,"F","55-64","East and South Asian","Bach Degree","Democratic",37
29,"F","55-64","East and South Asian","Bach Degree","Democratic",24
30,"F","55-64","East and South Asian","Bach Degree","Democratic",49
31,"F","55-64","East and South Asian","Bach Degree","Democratic",99
32,"F","55-64","East and South Asian","Bach Degree","Democratic",144
33,"F","55-64","East and South Asian","Bach Degree","Democratic",34
34,"F","55-64","East and South Asian","Bach Degree","Democratic",19
35,"F","55-64","East and South Asian","Bach Degree","Democratic",31
36,"F","55-64","East and South Asian","Bach Degree","Democratic",64
1,"M","55-64","East and South Asian","Bach Degree","Democratic",7
2,"M","55-64","East and South Asian","Bach Degree","Democratic",116
3,"M","55-64","East and South Asian","Bach Degree","Democratic",250
4,"M","55-64","East and South Asian","Bach Degree","Democratic",16
5,"M","55-64","East and South Asian","Bach Degree","Democratic",23
6,"M","55-64","East and South Asian","Bach Degree","Democratic",66
7,"M","55-64","East and South Asian","Bach Degree","Democratic",167
8,"M","55-64","East and South Asian","Bach Degree","Democratic",35
9,"M","55-64","East and South Asian","Bach Degree","Democratic",202
10,"M","55-64","East and South Asian","Bach Degree","Democratic",123
11,"M","55-64","East and South Asian","Bach Degree","Democratic",7
12,"M","55-64","East and South Asian","Bach Degree","Democratic",40
13,"M","55-64","East and South Asian","Bach Degree","Democratic",10
14,"M","55-64","East and South Asian","Bach Degree","Democratic",48
15,"M","55-64","East and South Asian","Bach Degree","Democratic",29
16,"M","55-64","East and South Asian","Bach Degree","Democratic",29
17,"M","55-64","East and South Asian","Bach Degree","Democratic",61
18,"M","55-64","East and South Asian","Bach Degree","Democratic",59
19,"M","55-64","East and South Asian","Bach Degree","Democratic",14
20,"M","55-64","East and South Asian","Bach Degree","Democratic",44
21,"M","55-64","East and South Asian","Bach Degree","Democratic",57
22,"M","55-64","East and South Asian","Bach Degree","Democratic",382
23,"M","55-64","East and South Asian","Bach Degree","Democratic",35
24,"M","55-64","East and South Asian","Bach Degree","Democratic",140
25,"M","55-64","East and South Asian","Bach Degree","Democratic",63
26,"M","55-64","East and South Asian","Bach Degree","Democratic",73
27,"M","55-64","East and South Asian","Bach Degree","Democratic",23
28,"M","55-64","East and South Asian","Bach Degree","Democratic",21
29,"M","55-64","East and South Asian","Bach Degree","Democratic",36
30,"M","55-64","East and South Asian","Bach Degree","Democratic",39
31,"M","55-64","East and South Asian","Bach Degree","Democratic",62
32,"M","55-64","East and South Asian","Bach Degree","Democratic",103
33,"M","55-64","East and South Asian","Bach Degree","Democratic",28
34,"M","55-64","East and South Asian","Bach Degree","Democratic",20
35,"M","55-64","East and South Asian","Bach Degree","Democratic",17
36,"M","55-64","East and South Asian","Bach Degree","Democratic",41
1,"F","65_or_older","East and South Asian","Bach Degree","Democratic",23
2,"F","65_or_older","East and South Asian","Bach Degree","Democratic",234
3,"F","65_or_older","East and South Asian","Bach Degree","Democratic",263
4,"F","65_or_older","East and South Asian","Bach Degree","Democratic",26
5,"F","65_or_older","East and South Asian","Bach Degree","Democratic",46
6,"F","65_or_older","East and South Asian","Bach Degree","Democratic",78
7,"F","65_or_older","East and South Asian","Bach Degree","Democratic",339
8,"F","65_or_older","East and South Asian","Bach Degree","Democratic",69
9,"F","65_or_older","East and South Asian","Bach Degree","Democratic",459
10,"F","65_or_older","East and South Asian","Bach Degree","Democratic",152
11,"F","65_or_older","East and South Asian","Bach Degree","Democratic",13
12,"F","65_or_older","East and South Asian","Bach Degree","Democratic",77
13,"F","65_or_older","East and South Asian","Bach Degree","Democratic",26
14,"F","65_or_older","East and South Asian","Bach Degree","Democratic",63
15,"F","65_or_older","East and South Asian","Bach Degree","Democratic",40
16,"F","65_or_older","East and South Asian","Bach Degree","Democratic",90
17,"F","65_or_older","East and South Asian","Bach Degree","Democratic",70
18,"F","65_or_older","East and South Asian","Bach Degree","Democratic",121
19,"F","65_or_older","East and South Asian","Bach Degree","Democratic",27
20,"F","65_or_older","East and South Asian","Bach Degree","Democratic",78
21,"F","65_or_older","East and South Asian","Bach Degree","Democratic",100
22,"F","65_or_older","East and South Asian","Bach Degree","Democratic",563
23,"F","65_or_older","East and South Asian","Bach Degree","Democratic",52
24,"F","65_or_older","East and South Asian","Bach Degree","Democratic",213
25,"F","65_or_older","East and South Asian","Bach Degree","Democratic",109
26,"F","65_or_older","East and South Asian","Bach Degree","Democratic",86
27,"F","65_or_older","East and South Asian","Bach Degree","Democratic",55
28,"F","65_or_older","East and South Asian","Bach Degree","Democratic",37
29,"F","65_or_older","East and South Asian","Bach Degree","Democratic",46
30,"F","65_or_older","East and South Asian","Bach Degree","Democratic",74
31,"F","65_or_older","East and South Asian","Bach Degree","Democratic",116
32,"F","65_or_older","East and South Asian","Bach Degree","Democratic",201
33,"F","65_or_older","East and South Asian","Bach Degree","Democratic",36
34,"F","65_or_older","East and South Asian","Bach Degree","Democratic",25
35,"F","65_or_older","East and South Asian","Bach Degree","Democratic",75
36,"F","65_or_older","East and South Asian","Bach Degree","Democratic",67
1,"M","65_or_older","East and South Asian","Bach Degree","Democratic",11
2,"M","65_or_older","East and South Asian","Bach Degree","Democratic",184
3,"M","65_or_older","East and South Asian","Bach Degree","Democratic",194
4,"M","65_or_older","East and South Asian","Bach Degree","Democratic",24
5,"M","65_or_older","East and South Asian","Bach Degree","Democratic",38
6,"M","65_or_older","East and South Asian","Bach Degree","Democratic",89
7,"M","65_or_older","East and South Asian","Bach Degree","Democratic",285
8,"M","65_or_older","East and South Asian","Bach Degree","Democratic",36
9,"M","65_or_older","East and South Asian","Bach Degree","Democratic",446
10,"M","65_or_older","East and South Asian","Bach Degree","Democratic",121
11,"M","65_or_older","East and South Asian","Bach Degree","Democratic",12
12,"M","65_or_older","East and South Asian","Bach Degree","Democratic",61
13,"M","65_or_older","East and South Asian","Bach Degree","Democratic",23
14,"M","65_or_older","East and South Asian","Bach Degree","Democratic",68
15,"M","65_or_older","East and South Asian","Bach Degree","Democratic",30
16,"M","65_or_older","East and South Asian","Bach Degree","Democratic",52
17,"M","65_or_older","East and South Asian","Bach Degree","Democratic",55
18,"M","65_or_older","East and South Asian","Bach Degree","Democratic",100
19,"M","65_or_older","East and South Asian","Bach Degree","Democratic",14
20,"M","65_or_older","East and South Asian","Bach Degree","Democratic",43
21,"M","65_or_older","East and South Asian","Bach Degree","Democratic",61
22,"M","65_or_older","East and South Asian","Bach Degree","Democratic",503
23,"M","65_or_older","East and South Asian","Bach Degree","Democratic",46
24,"M","65_or_older","East and South Asian","Bach Degree","Democratic",141
25,"M","65_or_older","East and South Asian","Bach Degree","Democratic",70
26,"M","65_or_older","East and South Asian","Bach Degree","Democratic",59
27,"M","65_or_older","East and South Asian","Bach Degree","Democratic",44
28,"M","65_or_older","East and South Asian","Bach Degree","Democratic",24
29,"M","65_or_older","East and South Asian","Bach Degree","Democratic",56
30,"M","65_or_older","East and South Asian","Bach Degree","Democratic",49
31,"M","65_or_older","East and South Asian","Bach Degree","Democratic",78
32,"M","65_or_older","East and South Asian","Bach Degree","Democratic",174
33,"M","65_or_older","East and South Asian","Bach Degree","Democratic",37
34,"M","65_or_older","East and South Asian","Bach Degree","Democratic",26
35,"M","65_or_older","East and South Asian","Bach Degree","Democratic",31
36,"M","65_or_older","East and South Asian","Bach Degree","Democratic",67
1,"F","18-24","European","Bach Degree","Democratic",185
2,"F","18-24","European","Bach Degree","Democratic",458
3,"F","18-24","European","Bach Degree","Democratic",581
4,"F","18-24","European","Bach Degree","Democratic",268
5,"F","18-24","European","Bach Degree","Democratic",414
6,"F","18-24","European","Bach Degree","Democratic",332
7,"F","18-24","European","Bach Degree","Democratic",573
8,"F","18-24","European","Bach Degree","Democratic",326
9,"F","18-24","European","Bach Degree","Democratic",177
10,"F","18-24","European","Bach Degree","Democratic",764
11,"F","18-24","European","Bach Degree","Democratic",163
12,"F","18-24","European","Bach Degree","Democratic",345
13,"F","18-24","European","Bach Degree","Democratic",161
14,"F","18-24","European","Bach Degree","Democratic",344
15,"F","18-24","European","Bach Degree","Democratic",255
16,"F","18-24","European","Bach Degree","Democratic",475
17,"F","18-24","European","Bach Degree","Democratic",466
18,"F","18-24","European","Bach Degree","Democratic",257
19,"F","18-24","European","Bach Degree","Democratic",236
20,"F","18-24","European","Bach Degree","Democratic",364
21,"F","18-24","European","Bach Degree","Democratic",1460
22,"F","18-24","European","Bach Degree","Democratic",428
23,"F","18-24","European","Bach Degree","Democratic",353
24,"F","18-24","European","Bach Degree","Democratic",599
25,"F","18-24","European","Bach Degree","Democratic",1274
26,"F","18-24","European","Bach Degree","Democratic",585
27,"F","18-24","European","Bach Degree","Democratic",234
28,"F","18-24","European","Bach Degree","Democratic",218
29,"F","18-24","European","Bach Degree","Democratic",143
30,"F","18-24","European","Bach Degree","Democratic",434
