U.S. House,,WV-1,,OCT 28-31,B+Emerson College,341,LV,Fershee,32.00%,57.00%,McKinley,McKinley,25
U.S. House,,NM-3,,01/10/29,Carroll Strategies,410,LV,Lujan,57.00%,33.00%,McFall,Lujan,25
U.S. House,,NM-2,,01/10/29,Carroll Strategies,338,LV,Small,42.00%,47.00%,Herrell,Herrell,5
U.S. House,,NM-1,,01/10/29,Carroll Strategies,452,LV,Haaland,51.00%,43.00%,Arnold-Jones,Haaland,8
U.S. House,,AK-1,,OCT 26-29,CIvan Moore Research,500,LV,Galvin,49.00%,48.00%,Young,Galvin,1
U.S. House,,VA-10,,OCT 25-28,A+Washington Post/George Mason,446,LV,Wexton,54.00%,43.00%,Comstock,Wexton,11
"Oct. 30, 2018",,,,,,,,,,,,,
U.S. House,,VA-7,,OCT 30-NOV 4,ASiena College/New York Times,500,RV,Spanberger,43.00%,41.00%,Brat,Spanberger,2
U.S. House,,VA-7,,OCT 30-NOV 4,ASiena College/New York Times,500,LV,Spanberger,44.00%,46.00%,Brat,Brat,2
U.S. House,,NY-25,,OCT 29-30,B-Dixie Strategies,843,LV,Morelle,49.00%,40.00%,Maxwell,Morelle,9
U.S. House,,PA-16,,OCT 29-30,"C+Susquehanna Polling & Research, Inc.",405,LV,DiNicola,51.00%,47.00%,Kelly,DiNicola,4
U.S. House,,ND-1,,OCT 27-30,AFox News,851,RV,Schneider,32.00%,52.00%,Armstrong,Armstrong,20
U.S. House,,ND-1,,OCT 27-30,AFox News,789,LV,Schneider,33.00%,55.00%,Armstrong,Armstrong,22
U.S. House,,OK-5,,01/10/29,B-SoonerPoll.com,440,LV,Horn,37.00%,49.00%,Russell,Russell,12
U.S. House,,PA-8,,OCT 28-29,"C+Susquehanna Polling & Research, Inc.",446,LV,Cartwright,57.00%,40.00%,Chrin,Cartwright,17
U.S. House,,NH-2,,OCT 27-29,B+Emerson College,569,LV,Kuster,52.00%,40.00%,Negron,Kuster,13
U.S. House,,NH-1,,OCT 27-29,B+Emerson College,570,LV,Pappas,48.00%,46.00%,Edwards,Pappas,2
U.S. House,,ME-2,,OCT 27-29,B+Emerson College,441,LV,Golden,47.00%,46.00%,Poliquin,Golden,1
U.S. House,,ME-1,,OCT 27-29,B+Emerson College,442,LV,Pingree,56.00%,31.00%,Holbrook,Pingree,25
U.S. House,,NY-19,,OCT 26-29,ASurveyUSA,609,LV,Delgado,44.00%,44.00%,Faso,,EVEN
U.S. House,,NJ-7,,OCT 25-29,A+Monmouth University,356,LV,Malinowski,46.00%,46.00%,Lance,,EVEN
U.S. House,,NJ-7,,OCT 25-29,A+Monmouth University,356,LV,Malinowski,48.00%,43.00%,Lance,Malinowski,5
U.S. House,,NJ-7,,OCT 25-29,A+Monmouth University,356,LV,Malinowski,47.00%,44.00%,Lance,Malinowski,3
U.S. House,,PA-13,,OCT 25-26,"C+Susquehanna Polling & Research, Inc.",303,LV,Ottaway,36.00%,57.00%,Joyce,Joyce,21
"Oct. 29, 2018",,,,,,,,,,,,,
U.S. House,,CA-45,,OCT 26-NOV 1,ASiena College/New York Times,499,RV,Porter,49.00%,41.00%,Walters,Porter,8
U.S. House,,CA-45,,OCT 26-NOV 1,ASiena College/New York Times,499,LV,Porter,48.00%,46.00%,Walters,Porter,1
U.S. House,,IA-1,,OCT 28-31,ASiena College/New York Times,452,RV,Finkenauer,39.00%,40.00%,Blum,Blum,1
U.S. House,,IA-1,,OCT 28-31,ASiena College/New York Times,452,LV,Finkenauer,46.00%,39.00%,Blum,Finkenauer,7
U.S. House,,NJ-7,,OCT 28-31,ASiena College/New York Times,503,RV,Malinowski,42.00%,39.00%,Lance,Malinowski,3
U.S. House,,NJ-7,,OCT 28-31,ASiena College/New York Times,503,LV,Malinowski,47.00%,39.00%,Lance,Malinowski,8
U.S. House,,IA-4,,OCT 27-29,Change Research,631,LV,Scholten,44.00%,45.00%,King,King,1
U.S. House,,KS-2,,OCT 27-29,Change Research,902,LV,Davis,44.00%,45.00%,Watkins,Watkins,1
U.S. House,,WI-6,,OCT 27-29,Change Research,525,LV,Kohl,48.00%,50.00%,Grothman,Grothman,2
U.S. House,,IN-9,,OCT 27-29,Change Research,541,LV,Watson,45.00%,52.00%,Hollingsworth,Hollingsworth,7
U.S. House,,IN-5,,OCT 27-29,Change Research,527,LV,Thornton,44.00%,50.00%,Brooks,Brooks,6
U.S. House,,MI-1,,OCT 27-29,Change Research,574,LV,Morgan,42.00%,54.00%,Bergman,Bergman,12
U.S. House,,MI-6,,OCT 27-29,Change Research,466,LV,Longjohn,43.00%,46.00%,Upton,Upton,3
U.S. House,,OH-2,,OCT 27-29,Change Research,431,LV,Schiller,39.00%,52.00%,Wenstrup,Wenstrup,13
U.S. House,,IL-16,,OCT 27-29,Change Research,554,LV,Dady,41.00%,55.00%,Kinzinger,Kinzinger,14
U.S. House,,FL-18,,OCT 27-29,Change Research,475,LV,Baer,44.00%,53.00%,Mast,Mast,9
U.S. House,,NY-1,,OCT 27-29,Change Research,838,LV,Gershon,37.00%,52.00%,Zeldin,Zeldin,15
U.S. House,,CO-3,,OCT 27-29,Change Research,485,LV,Mitsch Bush,38.00%,53.00%,Tipton,Tipton,15
U.S. House,,CA-50,,OCT 25-29,ASurveyUSA,547,LV,Campa-Najjar,45.00%,48.00%,Hunter,Hunter,3
U.S. House,,KS-4,,OCT 26-28,B+Emerson College,262,LV,Thompson,33.00%,63.00%,Estes,Estes,30
U.S. House,,KS-3,,OCT 26-28,B+Emerson College,262,LV,Davids,55.00%,43.00%,Yoder,Davids,13
U.S. House,,KS-2,,OCT 26-28,B+Emerson College,231,LV,Davis,41.00%,48.00%,Watkins,Watkins,7
U.S. House,,KS-1,,OCT 26-28,B+Emerson College,221,LV,LaPolice,36.00%,51.00%,Marshall,Marshall,15
U.S. House,,FL-27,,OCT 25-28,CAnzalone Liszt Grove Research*,500,LV,Shalala,49.00%,39.00%,Salazar,Shalala,10
U.S. House,,NC-2,,OCT 24-28,ASurveyUSA,565,LV,Coleman,40.00%,49.00%,Holding,Holding,9
U.S. House,,NY-19,,OCT 24-28,A+Monmouth University,372,LV,Delgado,48.00%,46.00%,Faso,Delgado,2
U.S. House,,NY-19,,OCT 24-28,A+Monmouth University,372,LV,Delgado,51.00%,43.00%,Faso,Delgado,8
U.S. House,,NY-19,,OCT 24-28,A+Monmouth University,372,LV,Delgado,49.00%,44.00%,Faso,Delgado,5
U.S. House,,OH-7,,OCT 25-26,Change Research*,682,LV,Harbaugh,43.00%,49.00%,Gibbs,Gibbs,6
U.S. House,,MT-1,,OCT 24-26,C+Gravis Marketing,782,LV,Williams,48.00%,48.00%,Gianforte,,EVEN
U.S. House,,PA-9,,OCT 23-25,"C+Susquehanna Polling & Research, Inc.",271,LV,Wolff,36.00%,57.00%,Meuser,Meuser,21
U.S. House,,IA-4,,OCT 22-24,BWPA Intelligence*,401,LV,Scholten,34.00%,52.00%,King,King,18
U.S. House,,KS-1,,OCT 22-23,DJayhawk Consulting*,600,LV,LaPolice,38.00%,42.00%,Marshall,Marshall,4
U.S. House,,PA-11,,OCT 21-22,"C+Susquehanna Polling & Research, Inc.",311,LV,King,46.00%,50.00%,Smucker,Smucker,4
U.S. House,,KS-1,,08/10/09,Remington Research Group*,1432,LV,LaPolice,26.00%,60.00%,Marshall,Marshall,34
U.S. House,,OH-7,,03/10/06,BMellman Group*,400,LV,Harbaugh,38.00%,45.00%,Gibbs,Gibbs,7
U.S. House,,IA-4,,02/10/04,BWPA Intelligence*,400,LV,Scholten,34.00%,54.00%,King,King,20
U.S. House,,MN-2,,SEP 13-17,C+Global Strategy Group*,400,LV,Craig,49.00%,41.00%,Lewis,Craig,8
U.S. House,,MI-11,,AUG 24-27,BHarper Polling*,400,LV,Stevens,34.00%,29.00%,Epstein,Stevens,5
U.S. House,,IA-4,,AUG 23-27,BWPA Intelligence*,405,LV,Scholten,32.00%,53.00%,King,King,21
U.S. House,,OH-1,,AUG 23-26,BGBA Strategies*,500,LV,Pureval,45.00%,45.00%,Chabot,,EVEN
U.S. House,,OH-1,,JUN 28-JUL 1,BGBA Strategies*,500,LV,Pureval,47.00%,49.00%,Chabot,Chabot,2
"Oct. 28, 2018",,,,,,,,,,,,,
U.S. House,,NY-27,,OCT 25-28,BTulchin Research*,400,LV,McMurray,47.00%,43.00%,Collins,McMurray,4
U.S. House,,VA-7,,OCT 18-27,B+Christopher Newport University,790,LV,Spanberger,48.00%,45.00%,Brat,Spanberger,3
U.S. House,,VA-7,,OCT 18-27,B+Christopher Newport University,871,LV,Spanberger,46.00%,45.00%,Brat,Spanberger,1
U.S. House,,NM-3,,OCT 24-26,B+Emerson College,331,LV,Lujan,54.00%,37.00%,McFall,Lujan,17
U.S. House,,NM-2,,OCT 24-26,B+Emerson College,278,LV,Small,47.00%,47.00%,Herrell,,EVEN
U.S. House,,NM-1,,OCT 24-26,B+Emerson College,327,LV,Haaland,51.00%,41.00%,Arnold-Jones,Haaland,10
U.S. House,,UT-4,,01/10/25,B-Dixie Strategies,936,LV,McAdams,50.00%,43.00%,Love,McAdams,6
U.S. House,,NE-2,,OCT 23-25,B-DFM Research*,350,LV,Eastman,45.00%,52.00%,Bacon,Bacon,7
U.S. House,,PA-10,,OCT 19-21,"C+Susquehanna Polling & Research, Inc.",366,LV,Scott,46.00%,49.00%,Perry,Perry,3
U.S. House,,MN-2,,OCT 9-14,C+Global Strategy Group*,400,LV,Craig,52.00%,43.00%,Lewis,Craig,9
"Oct. 27, 2018",,,,,,,,,,,,,
U.S. House,,KS-2,,OCT 27-30,ASiena College/New York Times,501,RV,Davis,37.00%,34.00%,Watkins,Davis,3
U.S. House,,KS-2,,OCT 27-30,ASiena College/New York Times,501,LV,Davis,41.00%,37.00%,Watkins,Davis,4
U.S. House,,NC-9,,OCT 26-30,ASiena College/New York Times,505,RV,McCready,45.00%,41.00%,Harris,McCready,4
U.S. House,,NC-9,,OCT 26-30,ASiena College/New York Times,505,LV,McCready,44.00%,45.00%,Harris,Harris,1
U.S. House,,PA-1,,OCT 26-29,ASiena College/New York Times,502,RV,Wallace,41.00%,48.00%,Fitzpatrick,Fitzpatrick,7
U.S. House,,PA-1,,OCT 26-29,ASiena College/New York Times,502,LV,Wallace,46.00%,47.00%,Fitzpatrick,Fitzpatrick,1
U.S. House,,NY-24,,OCT 18-22,ASiena College,500,LV,Balter,39.00%,53.00%,Katko,Katko,14
"Oct. 26, 2018",,,,,,,,,,,,,
U.S. House,,CA-25,,OCT 25-28,ASiena College/New York Times,504,RV,Hill,41.00%,46.00%,Knight,Knight,5
U.S. House,,CA-25,,OCT 25-28,ASiena College/New York Times,504,LV,Hill,44.00%,48.00%,Knight,Knight,4
"Oct. 25, 2018",,,,,,,,,,,,,
U.S. House,,NY-27,,OCT 24-29,ASiena College/New York Times,501,RV,McMurray,41.00%,42.00%,Collins,Collins,1
U.S. House,,NY-27,,OCT 24-29,ASiena College/New York Times,501,LV,McMurray,40.00%,44.00%,Collins,Collins,4
U.S. House,,IA-3,,OCT 25-27,ASiena College/New York Times,504,RV,Axne,40.00%,39.00%,Young,Axne,1
U.S. House,,IA-3,,OCT 25-27,ASiena College/New York Times,504,LV,Axne,43.00%,41.00%,Young,Axne,2
U.S. House,,MT-1,,OCT 10-18,University of Montana,533,LV,Williams,46.00%,45.00%,Gianforte,Williams,1
"Oct. 24, 2018",,,,,,,,,,,,,
U.S. House,,NY-11,,OCT 23-27,ASiena College/New York Times,495,RV,Rose,39.00%,37.00%,Donovan,Rose,2
U.S. House,,NY-11,,OCT 23-27,ASiena College/New York Times,495,LV,Rose,40.00%,44.00%,Donovan,Donovan,3
U.S. House,,UT-4,,OCT 24-26,ASiena College/New York Times,526,RV,McAdams,44.00%,44.00%,Love,,EVEN
U.S. House,,UT-4,,OCT 24-26,ASiena College/New York Times,526,LV,McAdams,45.00%,45.00%,Love,,EVEN
U.S. House,,NE-1,,OCT 24-25,Change Research,742,LV,McClure,39.00%,55.00%,Fortenberry,Fortenberry,16
U.S. House,,NY-23,,OCT 23-24,Change Research*,510,LV,Mitrano,47.00%,49.00%,Reed,Reed,2
U.S. House,,NJ-2,,OCT 17-23,B+Stockton University,597,LV,Van Drew,55.00%,38.00%,Grossman,Van Drew,17
U.S. House,,GA-6,,OCT 20-22,Thirty-Ninth Street Strategies*,400,LV,McBath,47.00%,48.00%,Handel,Handel,1
U.S. House,,NJ-3,,OCT 18-22,A+Monmouth University,363,LV,Kim,49.00%,46.00%,MacArthur,Kim,3
U.S. House,,NJ-3,,OCT 18-22,A+Monmouth University,363,LV,Kim,50.00%,44.00%,MacArthur,Kim,6
U.S. House,,NJ-3,,OCT 18-22,A+Monmouth University,363,LV,Kim,48.00%,46.00%,MacArthur,Kim,2
U.S. House,,SD-1,,OCT 18-22,"B+Mason-Dixon Polling & Research, Inc.",500,LV,Bjorkman,31.00%,54.00%,Johnson,Johnson,23
U.S. House,,VA-10,,OCT 15-21,A+Washington Post/George Mason,430,LV,Wexton,56.00%,43.00%,Comstock,Wexton,13
U.S. House,,NJ-5,,OCT 13-15,C-McLaughlin & Associates*,400,LV,Gottheimer,47.00%,38.00%,McCann,Gottheimer,9
U.S. House,,OR-2,,11/10/12,Patinkin Research Strategies*,400,LV,McLeod-Skinner,40.00%,49.00%,Walden,Walden,9
"Oct. 23, 2018",,,,,,,,,,,,,
U.S. House,,PA-10,,OCT 23-26,ASiena College/New York Times,498,RV,Scott,42.00%,42.00%,Perry,Perry,1
U.S. House,,PA-10,,OCT 23-26,ASiena College/New York Times,498,LV,Scott,43.00%,45.00%,Perry,Perry,2
U.S. House,,IL-13,,OCT 21-25,ASiena College/New York Times,501,RV,Londrigan,42.00%,42.00%,Davis,,EVEN
U.S. House,,IL-13,,OCT 21-25,ASiena College/New York Times,501,LV,Londrigan,41.00%,46.00%,Davis,Davis,5
U.S. House,,OH-12,,OCT 20-22,BGBA Strategies*,570,LV,O'Connor,47.00%,47.00%,Balderson,,EVEN
U.S. House,,CA-22,,OCT 19-21,Change Research*,840,LV,Janz,46.00%,51.00%,Nunes,Nunes,5
U.S. House,,FL-15,,OCT 16-18,B-Greenberg Quinlan Rosner*,400,LV,Carlson,47.00%,47.00%,Spano,,EVEN
U.S. House,,NY-22,,OCT 15-18,ASiena College,501,LV,Brindisi,46.00%,45.00%,Tenney,Brindisi,1
U.S. House,,CA-45,,OCT 14-16,CTargetPoint*,365,LV,Porter,42.00%,50.00%,Walters,Walters,8
U.S. House,,CO-6,,OCT 14-16,CTargetPoint*,385,LV,Crow,48.00%,43.00%,Coffman,Crow,5
U.S. House,,PA-1,,OCT 14-16,CTargetPoint*,400,LV,Wallace,49.00%,45.00%,Fitzpatrick,Wallace,4
U.S. House,,VA-10,,OCT 14-16,CTargetPoint*,421,LV,Wexton,47.00%,47.00%,Comstock,,EVEN
U.S. House,,VA-5,,OCT 14-16,CTargetPoint*,406,LV,Cockburn,43.00%,48.00%,Riggleman,Riggleman,5
U.S. House,,TX-2,,OCT 14-16,CTargetPoint*,435,LV,Litton,40.00%,49.00%,Crenshaw,Crenshaw,9
U.S. House,,OH-16,,OCT 14-16,CTargetPoint*,424,LV,Palmer,39.00%,48.00%,Gonzalez,Gonzalez,9
U.S. House,,NY-21,,OCT 14-16,CTargetPoint*,491,LV,Cobb,40.00%,50.00%,Stefanik,Stefanik,10
U.S. House,,WI-1,,04/09/08,C+Global Strategy Group*,400,LV,Bryce,45.00%,45.00%,Steil,,EVEN
U.S. House,,CA-22,,04/09/06,Change Research*,651,LV,Janz,40.00%,51.00%,Nunes,Nunes,11
"Oct. 22, 2018",,,,,,,,,,,,,
U.S. House,,IL-6,,OCT 20-26,ASiena College/New York Times,497,RV,Casten,45.00%,40.00%,Roskam,Casten,5
U.S. House,,IL-6,,OCT 20-26,ASiena College/New York Times,497,LV,Casten,46.00%,44.00%,Roskam,Casten,1
U.S. House,,CA-10,,OCT 21-25,ASiena College/New York Times,501,RV,Harder,48.00%,39.00%,Denham,Harder,9
U.S. House,,CA-10,,OCT 21-25,ASiena College/New York Times,501,LV,Harder,47.00%,45.00%,Denham,Harder,2
U.S. House,,NJ-3,,OCT 21-25,ASiena College/New York Times,508,RV,Kim,39.00%,41.00%,MacArthur,MacArthur,1
U.S. House,,NJ-3,,OCT 21-25,ASiena College/New York Times,508,LV,Kim,44.00%,45.00%,MacArthur,MacArthur,1
U.S. House,,WI-1,,OCT 19-21,Change Research*,551,LV,Bryce,45.00%,44.00%,Steil,Bryce,1
U.S. House,,CA-48,,OCT 17-21,A+Monmouth University,372,LV,Rouda,46.00%,52.00%,Rohrabacher,Rohrabacher,6
U.S. House,,CA-48,,OCT 17-21,A+Monmouth University,372,LV,Rouda,50.00%,48.00%,Rohrabacher,Rouda,2
U.S. House,,CA-48,,OCT 17-21,A+Monmouth University,372,LV,Rouda,48.00%,50.00%,Rohrabacher,Rohrabacher,2
U.S. House,,TX-21,,OCT 17-20,BWPA Intelligence*,401,LV,Kopser,38.00%,50.00%,Roy,Roy,12
U.S. House,,MN-1,,OCT 16-20,ASurveyUSA,586,LV,Feehan,47.00%,45.00%,Hagedorn,Feehan,2
U.S. House,,GA-6,,OCT 13-18,JMC Analytics / Bold Blue Campaigns,500,LV,McBath,45.00%,49.00%,Handel,Handel,4
U.S. House,,CA-4,,OCT 15-16,B-Clarity Campaign Labs*,840,LV,Morse,45.00%,49.00%,McClintock,McClintock,4
U.S. House,,FL-27,,OCT 11-14,C-McLaughlin & Associates*,400,RV,Shalala,41.00%,50.00%,Salazar,Salazar,9
U.S. House,,MT-1,,OCT 8-13,B+Montana State University Billings,471,LV,Williams,41.00%,44.00%,Gianforte,Gianforte,3
U.S. House,,VA-10,,07/10/09,C+Global Strategy Group*,400,LV,Wexton,49.00%,39.00%,Comstock,Wexton,10
U.S. House,,MT-1,,SEP 15-OCT 6,MSU - Bozeman,2079,RV,Williams,40.00%,48.00%,Gianforte,Gianforte,8
U.S. House,,WI-1,,04/10/05,Change Research*,501,LV,Bryce,44.00%,46.00%,Steil,Steil,3
U.S. House,,VA-10,,AUG 23-27,C+Global Strategy Group*,400,LV,Wexton,50.00%,43.00%,Comstock,Wexton,7
"Oct. 21, 2018",,,,,,,,,,,,,
U.S. House,,TX-7,,OCT 19-25,ASiena College/New York Times,499,RV,Fletcher,41.00%,43.00%,Culberson,Culberson,2
U.S. House,,TX-7,,OCT 19-25,ASiena College/New York Times,499,LV,Fletcher,45.00%,46.00%,Culberson,Culberson,1
U.S. House,,OH-1,,OCT 20-24,ASiena College/New York Times,492,RV,Pureval,41.00%,44.00%,Chabot,Chabot,3
U.S. House,,OH-1,,OCT 20-24,ASiena College/New York Times,492,LV,Pureval,41.00%,50.00%,Chabot,Chabot,9
U.S. House,,CA-49,,OCT 19-24,ASiena College/New York Times,500,RV,Levin,55.00%,36.00%,Harkey,Levin,19
U.S. House,,CA-49,,OCT 19-24,ASiena College/New York Times,500,LV,Levin,53.00%,39.00%,Harkey,Levin,15
U.S. House,,ND-1,,OCT 12-19,Strategic Research Associates,650,LV,Schneider,35.00%,56.00%,Armstrong,Armstrong,21
U.S. House,,FL-15,,OCT 17-18,Remington Research Group*,1369,LV,Carlson,41.00%,47.00%,Spano,Spano,6
U.S. House,,GA-7,,OCT 13-18,JMC Analytics / Bold Blue Campaigns,500,LV,Bourdeaux,43.00%,49.00%,Woodall,Woodall,6
U.S. House,,NH-2,,OCT 10-18,BUniversity of New Hampshire,234,LV,Kuster,53.00%,38.00%,Negron,Kuster,15
U.S. House,,NH-1,,OCT 10-18,BUniversity of New Hampshire,265,LV,Pappas,46.00%,37.00%,Edwards,Pappas,9
U.S. House,,NY-19,,OCT 12-16,ASiena College,500,LV,Delgado,43.00%,44.00%,Faso,Faso,1
U.S. House,,OK-5,,OCT 14-15,VCreek/AMG*,974,LV,Horn,35.00%,51.00%,Russell,Russell,16
U.S. House,,VT-1,,OCT 5-14,BBraun Research,495,LV,Welch,55.00%,18.00%,Tynio,Welch,37
U.S. House,,OH-12,,OCT 11-13,B-Clarity Campaign Labs*,639,LV,O'Connor,46.00%,48.00%,Balderson,Balderson,2
U.S. House,,ME-2,,09/10/12,C+Global Strategy Group*,400,LV,Golden,48.00%,42.00%,Poliquin,Golden,6
"Oct. 20, 2018",,,,,,,,,,,,,
