FB_el_type,FB_survey_party,FB_week_to_el,Voters_Gender,age_cat,EthnicGroups_EthnicGroup1Desc,CommercialData_Education,Parties_Description,ID
US House,Rep,3,M,35-44,European,NA,Non-Partisan,43
US House,Rep,3,M,35-44,European,NA,Non-Partisan,43
US House,Rep,2,M,35-44,European,NA,Non-Partisan,43
US House,Dem,3,M,65_or_older,NA,Some College -Extremely Likely,Democratic,44
US House,Rep,1,M,35-44,European,NA,Non-Partisan,43
US House,Rep,3,M,35-44,European,Bach Degree - Likely,Republican,45
US House,Rep,2,M,55-64,Hispanic and Portuguese,NA,Non-Partisan,46
US House,Rep,2,F,35-44,European,Some College -Extremely Likely,Republican,47
US House,Rep,1,F,35-44,European,Some College -Extremely Likely,Republican,47
US House,Rep,1,F,35-44,European,Some College -Extremely Likely,Republican,47
US House,Rep,0,M,35-44,European,Bach Degree - Likely,Republican,45
US House,Dem,0,F,35-44,European,NA,Republican,48
US House,Rep,0,M,55-64,European,Bach Degree - Extremely Likely,Republican,49
US House,Rep,4,M,45-54,European,Some College -Extremely Likely,Republican,50
US House,Dem,6,F,65_or_older,Hispanic and Portuguese,NA,Democratic,51
US House,Dem,5,F,65_or_older,Hispanic and Portuguese,NA,Democratic,51
US House,Dem,4,F,45-54,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,52
US House,Dem,5,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,4,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,4,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,3,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,3,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Rep,1,M,45-54,European,Some College -Extremely Likely,Republican,50
US House,Dem,1,F,65_or_older,Hispanic and Portuguese,NA,Democratic,51
US House,Rep,1,F,55-64,NA,NA,Republican,54
US House,Dem,2,F,55-64,Hispanic and Portuguese,Grad Degree - Likely,Democratic,55
US House,Rep,1,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,56
US House,Dem,3,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,3,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,2,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,2,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,1,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,1,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,1,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,1,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,1,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,2,M,25-34,Hispanic and Portuguese,NA,Non-Partisan,57
US House,Dem,1,M,25-34,Hispanic and Portuguese,NA,Non-Partisan,57
US House,Dem,1,M,25-34,Hispanic and Portuguese,NA,Non-Partisan,57
US House,Rep,0,F,55-64,Hispanic and Portuguese,HS Diploma - Likely,Democratic,58
US House,Rep,0,F,55-64,Hispanic and Portuguese,HS Diploma - Likely,Democratic,58
US Senate,Rep,0,F,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,59
US Senate,Rep,0,F,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,59
US House,Rep,0,M,45-54,European,Some College -Extremely Likely,Republican,50
US House,Rep,0,M,45-54,European,Some College -Extremely Likely,Republican,50
US House,Rep,0,M,45-54,European,Some College -Extremely Likely,Republican,50
US House,Dem,0,F,65_or_older,Hispanic and Portuguese,NA,Democratic,51
US House,Dem,0,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,1,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,0,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,0,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,0,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Dem,0,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US Senate,Dem,0,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US Senate,Dem,2,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,53
US House,Rep,3,F,45-54,European,NA,Republican,60
US House,Dem,3,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,61
US House,Dem,3,M,45-54,Hispanic and Portuguese,Some College - Likely,Democratic,61
US House,Rep,2,F,65_or_older,Hispanic and Portuguese,Grad Degree - Extremely Likely,Republican,62
US House,Rep,1,F,65_or_older,Hispanic and Portuguese,Grad Degree - Extremely Likely,Republican,62
US House,Rep,1,F,65_or_older,European,Bach Degree - Likely,Democratic,63
US House,Rep,1,F,65_or_older,European,Bach Degree - Likely,Democratic,63
US House,Rep,0,F,65_or_older,Hispanic and Portuguese,Grad Degree - Extremely Likely,Republican,62
US House,Dem,4,M,25-34,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,64
US House,Dem,3,M,25-34,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,64
US House,Rep,2,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,65
US House,Rep,0,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,65
US House,Dem,2,M,55-64,Hispanic and Portuguese,HS Diploma - Likely,Democratic,66
US House,Dem,2,M,55-64,Hispanic and Portuguese,HS Diploma - Likely,Democratic,66
US House,Dem,0,M,55-64,Hispanic and Portuguese,HS Diploma - Likely,Democratic,66
US Senate,Rep,5,F,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Republican,67
US House,Dem,5,F,65_or_older,Other,Grad Degree - Extremely Likely,Democratic,68
US House,Dem,2,F,65_or_older,Other,Grad Degree - Extremely Likely,Democratic,68
US Senate,Dem,2,M,45-54,Hispanic and Portuguese,Some College - Likely,Republican,69
US House,Dem,1,M,35-44,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,70
US House,Dem,0,F,65_or_older,Other,Grad Degree - Extremely Likely,Democratic,68
US House,Dem,3,F,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,71
US Senate,Dem,6,F,45-54,Hispanic and Portuguese,Some College -Extremely Likely,Republican,72
US House,Dem,5,F,55-64,European,NA,Democratic,73
US Senate,Rep,1,M,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,74
US House,Dem,2,M,35-44,NA,Some College - Likely,Democratic,75
US House,Dem,6,F,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Republican,76
US House,Dem,6,F,55-64,Hispanic and Portuguese,HS Diploma - Extremely Likely,Republican,76
US House,Dem,5,M,55-64,Hispanic and Portuguese,Less than HS Diploma - Likely,Democratic,77
US House,Dem,5,M,55-64,Hispanic and Portuguese,Grad Degree - Likely,Democratic,78
US House,Dem,1,F,65_or_older,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,79
US House,Dem,2,F,65_or_older,Hispanic and Portuguese,NA,Democratic,80
US Senate,Dem,2,M,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,81
US Senate,Dem,1,F,65_or_older,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,82
US House,Dem,6,F,45-54,European,NA,Democratic,83
US House,Dem,3,F,45-54,European,NA,Democratic,83
US House,Dem,0,M,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,84
US Senate,Dem,2,F,55-64,Hispanic and Portuguese,Bach Degree - Likely,Democratic,85
US House,Rep,5,M,45-54,Hispanic and Portuguese,HS Diploma - Likely,Democratic,86
US House,Dem,1,F,35-44,European,Bach Degree - Likely,Democratic,87
US House,Rep,0,M,45-54,Hispanic and Portuguese,HS Diploma - Likely,Democratic,86
US Senate,Dem,5,M,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,88
US Senate,Dem,6,F,35-44,Hispanic and Portuguese,NA,Democratic,89
US Senate,Dem,5,F,35-44,Hispanic and Portuguese,NA,Democratic,89
US House,Dem,2,M,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,90
US Senate,Dem,2,F,35-44,Hispanic and Portuguese,NA,Democratic,89
US Senate,Dem,2,F,35-44,Hispanic and Portuguese,NA,Democratic,89
US Senate,Dem,5,M,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,88
US Senate,Dem,1,M,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,88
US Senate,Dem,2,M,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,88
US Senate,Dem,6,M,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,88
US House,Dem,2,M,35-44,Hispanic and Portuguese,Bach Degree - Likely,Democratic,91
US House,Dem,1,M,35-44,Hispanic and Portuguese,Bach Degree - Likely,Democratic,91
US Senate,Rep,1,M,35-44,Hispanic and Portuguese,NA,Democratic,92
US House,Dem,6,M,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,93
US Senate,Rep,3,M,25-34,Hispanic and Portuguese,NA,Democratic,94
US House,Dem,3,F,25-34,European,NA,Republican,95
US House,Dem,1,M,25-34,Hispanic and Portuguese,NA,Democratic,96
US House,Dem,1,M,25-34,Hispanic and Portuguese,NA,Democratic,96
US House,Dem,0,M,25-34,Hispanic and Portuguese,NA,Democratic,96
US House,Dem,0,M,25-34,Hispanic and Portuguese,NA,Democratic,96
US House,Dem,0,M,25-34,Hispanic and Portuguese,NA,Democratic,96
US Senate,Dem,6,F,35-44,Hispanic and Portuguese,Bach Degree - Likely,Democratic,97
US House,Rep,2,M,65_or_older,European,HS Diploma - Likely,Republican,98
US House,Dem,4,F,55-64,Hispanic and Portuguese,NA,Republican,99
US House,Rep,2,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,100
US House,Dem,2,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,101
US House,Dem,1,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,102
US House,Dem,1,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,102
US House,Dem,1,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,102
US House,Dem,1,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,102
US House,Dem,1,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,102
US House,Dem,4,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,103
US House,Dem,3,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,103
US House,Dem,3,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,103
US House,Dem,2,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,103
US Senate,Rep,2,M,65_or_older,European,Some College -Extremely Likely,Republican,104
US Senate,Dem,5,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,103
US Senate,Dem,0,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,103
US Senate,Dem,0,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,103
US Senate,Dem,0,F,65_or_older,European,HS Diploma - Extremely Likely,Republican,103
US House,Dem,5,F,55-64,Likely African-American,NA,Democratic,105
US House,Dem,5,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,106
US House,Dem,3,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,106
US House,Dem,1,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,106
US Senate,Dem,1,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,106
US Senate,Dem,0,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,106
US House,Dem,0,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,106
US Senate,Dem,1,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,106
US House,Rep,0,F,45-54,European,NA,Republican,107
US Senate,Rep,0,F,35-44,European,NA,Republican,108
US House,Dem,5,F,55-64,European,Grad Degree - Extremely Likely,Republican,109
US House,Dem,1,F,55-64,European,Grad Degree - Extremely Likely,Republican,109
US House,Rep,5,M,45-54,European,HS Diploma - Likely,Republican,110
US House,Rep,1,M,65_or_older,NA,Grad Degree - Extremely Likely,Democratic,111
US House,Rep,3,M,45-54,European,HS Diploma - Likely,Republican,110
US Senate,Rep,0,M,65_or_older,European,HS Diploma - Extremely Likely,Republican,112
US House,Rep,4,M,65_or_older,NA,Some College -Extremely Likely,Republican,113
US House,Rep,3,M,65_or_older,NA,Some College -Extremely Likely,Republican,113
US House,Dem,5,M,65_or_older,European,Grad Degree - Extremely Likely,Republican,114
US House,Dem,2,M,65_or_older,European,Bach Degree - Extremely Likely,Democratic,115
US House,Dem,1,M,65_or_older,European,Bach Degree - Extremely Likely,Democratic,115
US House,Rep,5,M,65_or_older,European,NA,Republican,116
US Senate,Dem,1,F,55-64,European,Bach Degree - Extremely Likely,Democratic,117
US Senate,Dem,2,F,45-54,European,Some College - Likely,Democratic,118
US Senate,Dem,4,F,65_or_older,European,NA,Democratic,119
US House,Dem,2,M,55-64,Hispanic and Portuguese,NA,Democratic,120
US House,Dem,2,M,55-64,Hispanic and Portuguese,NA,Democratic,120
US Senate,Dem,5,M,65_or_older,European,Bach Degree - Extremely Likely,Democratic,121
US House,Dem,5,F,55-64,European,NA,Democratic,122
US House,Dem,5,F,35-44,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,123
US House,Rep,1,M,55-64,European,NA,Republican,124
US House,Rep,0,F,55-64,European,NA,Democratic,125
US House,Dem,4,F,65_or_older,Hispanic and Portuguese,Some College -Extremely Likely,Democratic,126
US House,Dem,1,F,65_or_older,Hispanic and Portuguese,Some College -Extremely Likely,Democratic,126
US House,Dem,1,F,65_or_older,Hispanic and Portuguese,Some College -Extremely Likely,Democratic,126
US Senate,Dem,0,M,35-44,Hispanic and Portuguese,Some College - Likely,Democratic,127
US House,Dem,6,M,35-44,European,NA,Democratic,128
US House,Dem,6,M,35-44,European,NA,Democratic,128
US House,Dem,3,M,35-44,European,NA,Democratic,128
US House,Dem,1,M,45-54,European,Grad Degree - Likely,Democratic,129
US House,Dem,2,F,45-54,Hispanic and Portuguese,HS Diploma - Extremely Likely,Democratic,130
US House,Rep,6,F,55-64,European,NA,Non-Partisan,131
US House,Dem,4,F,55-64,European,Some College - Likely,Democratic,132
US Senate,Rep,4,F,45-54,European,NA,Republican,133
US Senate,Dem,2,F,45-54,European,NA,Democratic,134
US House,Dem,5,F,55-64,European,Grad Degree - Extremely Likely,Democratic,135
US House,Dem,4,F,25-34,Likely African-American,NA,Democratic,136
US Senate,Dem,2,F,55-64,European,Bach Degree - Extremely Likely,Republican,137
US Senate,Rep,1,F,55-64,European,Bach Degree - Extremely Likely,Republican,137
US House,Rep,3,F,55-64,European,Bach Degree - Extremely Likely,Republican,138
US House,Rep,3,F,55-64,European,Bach Degree - Extremely Likely,Republican,138
US House,Rep,4,F,35-44,European,Grad Degree - Extremely Likely,Democratic,139
US House,Rep,3,F,65_or_older,European,NA,Republican,140
US Senate,Dem,5,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,141
US Senate,Dem,0,F,65_or_older,European,HS Diploma - Extremely Likely,Democratic,141
US House,Dem,2,F,25-34,European,HS Diploma - Extremely Likely,Democratic,142
US House,Dem,2,F,25-34,European,HS Diploma - Extremely Likely,Democratic,142
US House,Dem,3,F,65_or_older,European,Less than HS Diploma - Likely,Democratic,143
US House,Dem,3,M,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Non-Partisan,144
US House,Dem,0,M,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Non-Partisan,144
US House,Dem,0,M,45-54,Hispanic and Portuguese,Bach Degree - Extremely Likely,Non-Partisan,144
US House,Rep,4,M,25-34,European,NA,Republican,145
US House,Dem,5,F,25-34,Hispanic and Portuguese,Some College - Likely,Democratic,146
US House,Rep,5,F,65_or_older,European,Some College -Extremely Likely,Republican,147
US House,Dem,1,F,35-44,Hispanic and Portuguese,NA,Democratic,148
US Senate,Dem,3,F,65_or_older,Hispanic and Portuguese,NA,Democratic,149
US House,Rep,4,M,45-54,Hispanic and Portuguese,HS Diploma - Likely,Republican,150
US House,Rep,0,F,25-34,European,Grad Degree - Likely,Republican,151
US House,Dem,3,F,65_or_older,European,NA,Democratic,152
US Senate,Dem,0,M,25-34,Hispanic and Portuguese,Less than HS Diploma - Likely,Republican,153
US House,Dem,6,F,45-54,European,Grad Degree - Extremely Likely,Democratic,154
US House,Rep,5,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,155
US House,Dem,6,F,65_or_older,European,Bach Degree - Likely,Republican,156
US House,Dem,5,F,65_or_older,European,Bach Degree - Likely,Republican,156
US House,Dem,5,F,65_or_older,European,Bach Degree - Likely,Republican,156
US House,Dem,4,F,65_or_older,European,Bach Degree - Likely,Republican,156
US House,Dem,0,F,65_or_older,European,Bach Degree - Likely,Republican,156
US Senate,Dem,0,M,25-34,Hispanic and Portuguese,NA,Democratic,157
US House,Dem,5,F,65_or_older,European,Some College -Extremely Likely,Democratic,158
US House,Dem,4,F,65_or_older,European,Some College -Extremely Likely,Democratic,158
US House,Dem,4,F,65_or_older,European,Some College -Extremely Likely,Democratic,158
US House,Dem,3,F,65_or_older,European,Some College -Extremely Likely,Democratic,158
US House,Dem,2,F,65_or_older,European,Some College -Extremely Likely,Democratic,158
US House,Dem,1,F,65_or_older,European,Some College -Extremely Likely,Democratic,158
US House,Dem,3,F,25-34,Hispanic and Portuguese,NA,Democratic,159
US House,Rep,6,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,160
US House,Rep,3,F,65_or_older,European,Grad Degree - Extremely Likely,Republican,160
US House,Rep,2,F,45-54,European,NA,Republican,161
US House,Rep,3,M,65_or_older,European,Some College - Likely,Democratic,162
US House,Dem,6,M,65_or_older,European,Grad Degree - Extremely Likely,Democratic,163
US House,Dem,3,M,65_or_older,European,NA,Democratic,164
US House,Dem,1,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,165
US House,Dem,1,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,165
US House,Dem,1,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,165
US House,Dem,1,M,65_or_older,European,NA,Democratic,164
US House,Dem,1,M,65_or_older,European,NA,Democratic,164
US House,Dem,4,F,65_or_older,Other,NA,Democratic,166
US House,Dem,4,F,65_or_older,Hispanic and Portuguese,NA,Democratic,167
US House,Dem,4,F,65_or_older,Hispanic and Portuguese,NA,Democratic,167
US House,Dem,5,M,65_or_older,European,Grad Degree - Extremely Likely,Republican,168
US House,Rep,5,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,169
US House,Rep,5,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,169
US House,Dem,2,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,170
US House,Dem,2,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,170
US House,Dem,2,F,65_or_older,European,Grad Degree - Extremely Likely,Democratic,171
US House,Dem,0,F,65_or_older,Hispanic and Portuguese,NA,Democratic,167
US Senate,Dem,6,F,65_or_older,Hispanic and Portuguese,NA,Democratic,167
US House,Dem,1,F,55-64,Likely African-American,NA,Democratic,172
US House,Rep,3,M,65_or_older,European,Grad Degree - Likely,Democratic,173
US House,Dem,0,F,55-64,European,Grad Degree - Extremely Likely,Democratic,174
US House,Dem,0,M,55-64,Hispanic and Portuguese,Grad Degree - Extremely Likely,Democratic,175
US House,Dem,6,F,55-64,European,Bach Degree - Extremely Likely,Democratic,176
US House,Dem,5,F,55-64,European,Bach Degree - Extremely Likely,Democratic,176
US House,Dem,4,F,55-64,European,Bach Degree - Extremely Likely,Democratic,176
US House,Dem,3,F,55-64,European,Bach Degree - Extremely Likely,Democratic,176
US House,Rep,2,F,55-64,European,Bach Degree - Extremely Likely,Democratic,177
US House,Dem,1,M,65_or_older,European,Bach Degree - Likely,Republican,178
US House,Dem,3,F,65_or_older,East and South Asian,Bach Degree - Extremely Likely,Democratic,179
US House,Dem,4,M,55-64,Hispanic and Portuguese,Bach Degree - Extremely Likely,Democratic,180
US House,Dem,2,M,55-64,Hispanic and Portuguese,HS Diploma - Likely,Democratic,181
US House,Dem,2,M,55-64,Hispanic and Portuguese,HS Diploma - Likely,Democratic,181
US House,Rep,0,M,65_or_older,Likely African-American,Bach Degree - Likely,Democratic,182
US House,Dem,2,M,55-64,European,Some College -Extremely Likely,Democratic,183
US Senate,Dem,2,F,65_or_older,European,Bach Degree - Likely,Democratic,184
US House,Dem,1,F,65_or_older,European,Bach Degree - Likely,Democratic,184
US House,Dem,0,F,65_or_older,European,Bach Degree - Likely,Democratic,184
US Senate,Dem,6,M,55-64,Hispanic and Portuguese,NA,Democratic,185
US House,Rep,5,M,45-54,European,Bach Degree - Extremely Likely,Democratic,186
US House,Rep,1,F,65_or_older,Hispanic and Portuguese,Grad Degree - Extremely Likely,Democratic,187
US House,Dem,2,M,55-64,Likely African-American,Bach Degree - Likely,Democratic,188
US Senate,Dem,5,M,55-64,Hispanic and Portuguese,NA,Democratic,185
US House,Dem,2,F,55-64,European,Bach Degree - Extremely Likely,Democratic,189
US House,Rep,2,F,55-64,European,Bach Degree - Extremely Likely,Republican,190
US House,Dem,4,M,55-64,Hispanic and Portuguese,Grad Degree - Extremely Likely,Democratic,191
US House,Dem,4,M,65_or_older,European,Bach Degree - Extremely Likely,Republican,192
US House,Dem,5,M,55-64,European,HS Diploma - Likely,Democratic,193
US House,Dem,4,F,55-64,European,NA,Democratic,194
US House,Dem,4,F,55-64,European,NA,Democratic,194
US House,Rep,4,M,45-54,Hispanic and Portuguese,Grad Degree - Extremely Likely,Democratic,195
US House,Dem,1,M,55-64,European,HS Diploma - Likely,Democratic,193
US House,Dem,3,F,55-64,European,NA,Democratic,194
US House,Dem,0,M,55-64,European,HS Diploma - Likely,Democratic,193
US House,Dem,1,M,55-64,European,Bach Degree - Likely,Democratic,196
US House,Dem,1,M,55-64,European,Bach Degree - Likely,Democratic,196
US House,Rep,3,F,45-54,European,Bach Degree - Likely,Democratic,197
US House,Dem,1,M,65_or_older,Hispanic and Portuguese,HS Diploma - Likely,Democratic,198
US House,Rep,1,M,65_or_older,European,Grad Degree - Extremely Likely,Republican,199
US House,Rep,0,M,65_or_older,European,Grad Degree - Extremely Likely,Republican,199
US House,Dem,4,F,65_or_older,European,Bach Degree - Extremely Likely,Democratic,200
